gender,married,ch,income,loanamt,status
Male,No,1,5849,,Y
Male,Yes,1,4583,128,N
Male,Yes,1,3000,66,Y
Male,Yes,1,2583,120,Y
Male,No,1,6000,141,Y
Male,Yes,1,5417,267,Y
Male,Yes,1,2333,95,Y
Male,Yes,0,3036,158,N
Male,Yes,1,4006,168,Y
Male,Yes,1,12841,349,N
Male,Yes,1,3200,70,Y
Male,Yes,1,2500,109,Y
Male,Yes,1,3073,200,Y
Male,No,1,1853,114,N
Male,Yes,1,1299,17,Y
Male,No,1,4950,125,Y
Male,No,,3596,100,Y
Female,No,0,3510,76,N
Male,Yes,1,4887,133,N
Male,Yes,1,2600,115,Y
Male,Yes,0,7660,104,N
Male,Yes,1,5955,315,Y
Male,Yes,0,2600,116,N
,Yes,0,3365,112,N
Male,Yes,,3717,151,N
Male,Yes,1,9560,191,Y
Male,Yes,1,2799,122,Y
Male,Yes,1,4226,110,Y
Male,No,1,1442,35,N
Female,No,1,3750,120,Y
Male,Yes,,4166,201,N
Male,No,1,3167,74,N
Male,No,1,4692,106,N
Male,Yes,1,3500,114,Y
Male,No,1,12500,320,N
Male,Yes,1,2275,,Y
Male,Yes,0,1828,100,N
Female,Yes,1,3667,144,Y
Male,No,1,4166,184,Y
Male,No,1,3748,110,Y
Male,No,1,3600,80,N
Male,No,1,1800,47,Y
Male,Yes,,2400,75,Y
Male,Yes,1,3941,134,Y
Male,Yes,1,4695,96,Y
Female,No,1,3410,88,Y
Male,Yes,1,5649,44,Y
Male,Yes,1,5821,144,Y
Female,Yes,0,2645,120,N
Female,No,1,4000,144,Y
Female,Yes,1,1928,100,Y
Female,No,1,3086,120,Y
Female,No,1,4230,112,N
Male,Yes,1,4616,134,N
Female,Yes,0,11500,286,N
Male,Yes,1,2708,97,Y
Male,Yes,1,2132,96,Y
Male,Yes,1,3366,135,N
Male,Yes,1,8080,180,Y
Male,Yes,1,3357,144,Y
Male,Yes,1,2500,120,Y
Male,Yes,1,3029,99,Y
Male,Yes,0,2609,165,N
Male,Yes,0,4945,,N
Female,No,0,4166,116,N
Male,Yes,1,5726,258,N
