Hours,sHours,hoursplayed,income,distance,calories,Marks
0,6,6,146,9,2491,34
1,7,2,112,5,2303,36
1,6,1,84,7,2475,33
1,8,5,134,0,2282,39
1,8,5,104,8,2359,42
2,8,4,80,1,2354,45
2,6,3,93,0,2943,38
3,6,3,83,7,2119,45
3,7,6,139,1,2511,53
3,7,5,138,10,2666,46
3,8,5,98,2,2934,56
4,8,1,90,0,2838,59
4,7,3,140,7,2102,55
4,7,6,144,3,2560,56
5,8,2,144,5,2068,72
5,6,2,119,6,2541,59
6,6,1,140,6,2690,62
6,7,1,85,3,2956,71
7,8,2,140,8,2239,78
7,8,6,107,0,2703,88
7,6,5,85,7,2603,61
7,6,3,109,0,2031,74
8,7,5,108,0,2885,71
8,8,1,150,8,2153,89
9,8,4,150,9,2384,82
9,5,5,84,10,2882,67
9,8,5,127,5,2271,89
10,8,6,95,6,2264,81
10,8,5,72,5,2522,82
11,7,3,89,3,2279,79
